576,286
578,285
576,285
185,265
194,301
192,263
160,261
142,227
168,215
128,205
141,202
568,279
628,319
198,185
422,281
272,222
562,279
404,269
336,252
546,272
538,63
402,315
402,278
534,63
416,277
549,66
540,68
534,58
565,278
384,295
416,291
370,278
404,275
392,272
408,305
394,270
398,271
258,250
230,166
210,112
218,116
220,117
172,103
156,108
134,117
158,100
128,112
152,114
164,114
136,103
158,101
158,122
160,111
134,102
133,111
152,104
142,98
104,90
144,83
137,94
137,58
136,70
136,63
136,74
130,76
140,58
138,63
138,62
134,86
138,100
138,104
138,93
132,81
132,60
132,60
130,61
132,61
132,58
128,68
138,64
130,59
132,108
138,58
130,64
128,61
132,65
122,62
121,61
118,55
119,59
124,58
112,60
106,52
116,56
109,56
112,55
114,53
120,54
106,51
117,55
116,54
107,65
114,52
114,99
118,51
112,58
118,62
113,54
106,54
108,97
114,57
116,101
116,97
102,59
114,52
112,53
113,97
110,65
108,49
115,64
106,63
110,48
113,56
114,94
111,53
115,62
114,51
110,52
114,55
114,49
114,56
112,52
120,96
120,51
122,51
118,63
120,92
